"name","game_id","provider"
Sun of Egypt 2,1,BOOONGO
Wukong,2,BOOONGO
"3 Coins: Egypt",3,BOOONGO
Warrior Graveyard Xnudge,4,HUB88
Roulette,5,HUB88
Gem Roulette,6,OMEGA
Book of Dead,7,OMEGA
Majestic King Christmas Edition,8,SPINOMENAL
Buffalo Power,9,PLAYSON
Solar King,10,PLAYSON
Codex of Fortune,11,HUB88
Spirit of Egypt: Hold and Win,12,PLAYSON
Chance Machine 20,13,OMEGA
Fire in the Hole,14,HUB88
Diablo Reels,15,OMEGA
Texas Holdem Bonus Lobby,16,HUB88
Casino Hold'em,17,HUB88
Ways of the Qilin,18,PGSOFT
AVIATOR,19,HUB88
Joker Win,20,SPINOMENAL
Gonzo's Quest,21,HUB88
God's Temple,22,BOOONGO
Aztec Pyramid Megaway,23,BOOONGO
Lucky Seven,24,HUB88
Rooster Fury,25,OMEGA
Spinning Beers,26,SPINOMENAL
El Paso Gunfight xNudge DX1,27,HUB88
East Coast vs West Coast,28,HUB88
Legendary Sumo,29,OMEGA
Story of Hercules,30,SPINOMENAL
"2021 Hit Slot",31,OMEGA
Eagle Power: Hold and Win,32,PLAYSON
Fat Santa,33,HUB88
Sugar Pop,34,HUB88
Book of Shadows,35,HUB88
Wolf Night,36,BOOONGO
Pearl Diver,37,BOOONGO
Tower Quest,38,OMEGA
Golden Ox,39,OMEGA
Infectious 5 xWays DX1,40,HUB88
Diamond Chance,41,OMEGA
Genie's 3 Wishes,42,PGSOFT
Basketball Pro,43,HUB88
Penny Fruits Xtreme,44,SPINOMENAL
Colossus Fruits,45,SPINOMENAL
Fruits Collection 10 Lines,46,SPINOMENAL
Poseidon’s Rising,47,SPINOMENAL
Hell Hot 20,48,OMEGA
Gems Bonanza,49,OMEGA
Book Of Tribes Reloaded,50,SPINOMENAL
Story Of Hercules Expanded Edition,51,SPINOMENAL
Hot Shots 2,52,OMEGA
Wheel of Wishes,53,HUB88
Major Millions 5 Reel,54,HUB88
Book Of Diamonds,55,SPINOMENAL
Fruletta,56,OMEGA
Roulette X2,57,HUB88
Irish Charms,58,OMEGA
